r,s,n,N,NB,MST,MLB,EFT,NC,NC TIME,OL-I,OL-I TIME,OL-II,OL-II TIME,BL,BL TIME,GCP,GCP TIME,HAL,HAL TIME
32,1,2925,25,1024,1456982.4758,61670.8848879999,1050589.678768,1048237.634984,1.00044371486632,1052371.694704,1.10509411512894,1049740.951304,1.07635594766961,1051172.870832,58.8827264473714,1051841.152168,1.00128134614856,1105992.862176,1.04627243358171
32,4,2925,25,1024,1456982.4758,61670.8848879999,364185.268024002,364265.847920002,1.00707697215583,364473.982680002,1.11340222172617,365989.810016002,1.07849338425075,365989.810016002,57.4568673564832,365711.571304002,1.02043721845494,365599.758432002,1.05531303856376
32,1,4960,30,1024,2428846.92056011,74272.1888479999,1708563.32249601,1717381.15836001,0.998012740333872,1711441.72979201,1.08245543917745,1718263.39592801,1.15559757615585,1718263.39592801,73.463400645723,1701512.21444,1.00524465773932,1726048.550616,1.03584413292214
32,4,4960,30,1024,2428846.92056011,74272.1888479999,589673.629520001,592069.318040001,1.00787609515508,589550.851120001,1.09110602499185,588926.908920001,1.06579605485466,588926.908920001,72.8017006089598,590364.128727998,1.01500131810835,591227.270272001,1.05771462877676
32,1,7770,35,1024,3757728.48052065,113870.560015777,2616836.24624019,2626245.5262002,1.03379163991358,2616765.9198082,1.0756228930834,2629333.3434162,1.05393817514326,2629333.3434162,86.1465095580688,2604585.40893619,1.03182268709856,2628189.84088822,1.04785991812321
32,4,7770,35,1024,3757728.48052065,104381.346681129,895192.319279998,895984.201847998,1.00062463622747,895684.549647999,1.12592785928779,897601.429351998,1.06274410373263,897601.429351998,83.3607514889594,895895.026767998,1.01640151893136,896556.003375998,1.03889755074426
32,1,11480,40,1024,5499424.78368142,166649.235869134,3807331.7953928,3830248.09772081,1.03715458673155,3810423.3197448,1.0585582326248,3817682.58223281,1.04715494324205,3817682.58223281,93.571471642234,3797346.5386648,1.01943898870174,3827154.86930483,1.05554717530913
32,4,11480,40,1024,5499424.78368142,152761.799546706,1281817.513216,1287275.938184,1.01868335267382,1284956.15408001,1.07245594773588,1288827.768232,1.03305068401461,1279826.55132,89.7172230218936,1266884.761224,1.00437578348894,1286373.6558,1.03993501833934
32,1,16215,45,1024,7709733.45804242,233628.286607346,5364823.0930256,5380457.15020161,1.03996102144695,5365009.8846096,1.06711184602782,5372976.35327361,1.09426419622039,5374621.55816961,100.909888240104,5352854.4634976,1.03770350677338,5378236.87058563,1.0502933049068
32,4,16215,45,1024,7709733.45804242,214159.262723401,1755768.95604001,1761092.05022401,1.01224665316836,1756909.93230401,1.04608332037783,1755119.859592,1.04326932602182,1753112.395864,95.3720493294444,1749531.40618401,1.01428822715262,1758239.092512,1.01906153783374
32,1,22100,50,1024,10444452.1316002,316498.549442429,7286400.81158659,7296801.7779466,1.0273348835547,7290376.84595459,1.05295181484984,7293613.60169059,1.03839598912904,7293613.60169059,105.960777573845,7276650.05453859,1.02230022367588,7297196.47436263,1.04511130688052
32,4,22100,50,1024,10444452.1316002,290123.670322226,2374362.79724009,2379367.3679601,0.998331926010115,2380349.56661609,1.03565275393973,2373205.73550409,1.02594147999423,2375562.3371681,100.051351004096,2370124.16704809,1.01631330573128,2362445.82931209,1.01064008376447
